category_name,total_trending_entries,unique_videos,unique_channels,total_views,avg_views,avg_engagement_rate,avg_like_ratio,avg_days_to_trend,dislike_ratio,sentiment,size_tier,engagement_grade,controversy_index,_bc_ingested_at
Music,6467,801,442,40126286541,6204776,5.269,96.398,14.7,3.487,Excellent,Mega,A,17.44,2026-05-02 19:44:58
Entertainment,9943,1622,477,20558632081,2067649,3.402,92.394,13,7.499,Good,Mega,C,37.5,2026-05-02 19:44:58
Film & Animation,2343,321,140,7267792432,3101917,3.24,93.48,41.1,3.536,Good,Large,C,17.68,2026-05-02 19:44:58
Comedy,3453,547,146,5111266590,1480239,5.061,95.475,10.1,3.232,Excellent,Large,A,16.16,2026-05-02 19:44:58
People & Blogs,3208,498,257,4910004664,1530550,4.868,93.723,15.7,5.179,Good,Large,B,25.9,2026-05-02 19:44:58
Sports,2172,452,131,4403213872,2027262,1.889,90.984,23.5,4.947,Good,Large,D,24.74,2026-05-02 19:44:58
Howto & Style,4142,595,190,4071011870,982861,5.221,96.252,7.9,3.252,Excellent,Large,A,16.26,2026-05-02 19:44:58
Science & Technology,2397,381,165,3473462753,1449088,3.615,94.076,18.2,5.222,Good,Large,C,26.11,2026-05-02 19:44:58
Gaming,816,103,65,2127799781,2607598,4.733,93.611,22,11.755,Good,Mid,B,58.78,2026-05-02 19:44:58
News & Politics,2485,507,112,1473090484,592793,2.306,78.888,18.6,18.728,Controversial,Mid,D,93.64,2026-05-02 19:44:58
Education,1654,251,67,1176729943,711445,4.355,95.958,38,2.679,Excellent,Mid,B,13.4,2026-05-02 19:44:58
Pets & Animals,920,141,57,764651989,831143,3.824,96.933,7.7,2.65,Excellent,Niche,C,13.25,2026-05-02 19:44:58
Autos & Vehicles,384,71,58,520690717,1355965,2.134,90.682,43.2,5.414,Good,Niche,D,27.07,2026-05-02 19:44:58
Travel & Events,401,60,34,343100609,855612,2.568,92.747,7.1,6.584,Good,Niche,D,32.92,2026-05-02 19:44:58
Nonprofits & Activism,57,14,13,168941392,2963884,4.917,92.417,5.4,18.263,Good,Niche,B,91.32,2026-05-02 19:44:58
Shows,57,4,2,51501058,903527,2.661,96.77,10.7,2.214,Excellent,Niche,D,11.07,2026-05-02 19:44:58
