power_rank,channel_key,channel_title,channel_tier,consistency_score,trending_days_count,lifetime_views,avg_engagement_rate,leaderboard_pct,top3_pct,avg_leaderboard_views,avg_rank,power_score,power_tier,_bc_ingested_at
1,72cc1560dcb8cb7d528c444e62060adb,ibighit,Regular,39.02,80,2235906679,15.302,29.27,11.71,33776024,4.9,51.93,Elite,2026-05-02 19:46:02
2,4b837e2897940c450e364ca901fed807,jacksfilms,Powerhouse,71.71,147,197945349,9.018,0,0,,,44.92,Elite,2026-05-02 19:46:02
3,baf069ea8ce565674e2bff0c0f0a069a,Vox,Powerhouse,93.66,192,122200130,3.706,0,0,,,44.13,Elite,2026-05-02 19:46:02
4,0cdab28fbf52b290e99ec79cfc72c106,DudePerfect,Powerhouse,63.9,131,1870085178,3.551,39.51,17.56,14767988,4.8,43.8,Elite,2026-05-02 19:46:02
5,acffeb478839f4cf059c7eab8240c23c,TheTonightShowStarringJimmyFallon,Powerhouse,96.1,197,271426383,2.325,1.95,0,4825965,9,43.21,Elite,2026-05-02 19:46:02
6,170b1d363bd8516fbf3a3eb05d4faff6,Netflix,Powerhouse,94.15,193,185818315,2.535,0,0,,,42.22,Elite,2026-05-02 19:46:02
7,b412eab1f6a31d0b1ce5c2618775b90a,TheEllenShow,Powerhouse,93.66,192,253137213,2.496,0,0,,,41.96,Elite,2026-05-02 19:46:02
8,7b0ef842a6a1233a8a86a8533063a1a1,ESPN,Powerhouse,98.54,202,105181219,1.392,0,0,,,41.92,Elite,2026-05-02 19:46:02
9,d89295b3ae3adca6c0192be52a51d1f0,ScreenJunkies,Powerhouse,88.78,182,319075554,3.334,0,0,,,41.51,Elite,2026-05-02 19:46:02
10,2435a45b85628172c5a47122144a7c67,CNN,Powerhouse,87.32,179,134571828,3.349,0,0,,,40.96,Elite,2026-05-02 19:46:02
11,721ca31b62b126fbafdd01caa2f710a6,DailyCaller,One-Hit Wonder,1.46,3,3527339,22.29,0,0,,,40.71,Strong,2026-05-02 19:46:02
12,cef1096beeb3db6be27bc2c7b334d349,Desimpedidos,One-Hit Wonder,1.46,3,15093148,22.1,0.98,0,5551098,6,40.66,Strong,2026-05-02 19:46:02
13,2219d5b88d8d373ac37a2811b27c2c61,WIRED,Powerhouse,82.93,170,253636423,3.473,3.9,0,9745758,6.6,40.59,Strong,2026-05-02 19:46:02
14,a453af9f29ea6d085411bf27234ab57b,TomScott,Powerhouse,77.56,159,128537887,5.086,0,0,,,40.18,Strong,2026-05-02 19:46:02
15,53b139c3e44b47afd5757187983d0d28,JimmyKimmelLive,Powerhouse,90.24,185,280551472,2.044,0,0,,,39.78,Strong,2026-05-02 19:46:02
16,c45a137d7851bde9992fa390ddff2f92,TheLateShowwithStephenColbert,Powerhouse,91.22,187,123675646,1.502,0,0,,,39.19,Strong,2026-05-02 19:46:02
17,cf9cdeb50b57db02b93ff7dba8350f42,TEDEd,Powerhouse,79.02,162,72834398,4.061,0,0,,,38.92,Strong,2026-05-02 19:46:02
18,113c2ac4e2aaf4635c0b7e7a7f6bd4f2,SaturdayNightLive,Powerhouse,84.88,174,506752526,1.86,4.88,0,3999035,8.7,38.76,Strong,2026-05-02 19:46:02
19,52b6d6fc82db6aef110362f4755a1fe8,NBA,Powerhouse,88.29,181,72404568,1.804,0,0,,,38.56,Strong,2026-05-02 19:46:02
20,833bfa789525fe71f319d0da9eca4783,JamesCharles,Powerhouse,57.56,118,308971512,8.559,0,0,,,38.43,Strong,2026-05-02 19:46:02
21,db22fd6032b487abdb2d98f07e6597ee,SMTOWN,Regular,35.12,72,345614221,11.706,10.73,1.46,9324154,5.8,38.34,Strong,2026-05-02 19:46:02
