trending_date,unique_channels,total_daily_views,top_channel_views,bottom_channel_views,view_concentration,top1_share_pct,monopoly_flag,is_high_monopoly
2017-11-14,10,96064433,33523622,3191434,10.5,34.9,Moderate,0
2017-11-15,10,105887962,39082222,3686343,10.6,36.9,Moderate,0
2017-11-16,10,119277794,43449654,3979891,10.9,36.4,Moderate,0
2017-11-17,10,87980310,24578152,3913682,6.3,27.9,Moderate,0
2017-11-18,10,96105642,26448434,4716036,5.6,27.5,Moderate,0
2017-11-19,10,98526170,29943556,5159241,5.8,30.4,Moderate,0
2017-11-20,10,118929027,38646917,5889680,6.6,32.5,Moderate,0
2017-11-21,10,138066864,47078714,6197393,7.6,34.1,Moderate,0
2017-11-22,10,150522664,56843038,5670852,10,37.8,Moderate,0
2017-11-23,10,161582296,68997838,5191299,13.3,42.7,High Monopoly,1
2017-11-24,10,175978667,80605857,4465685,18.1,45.8,High Monopoly,1
2017-11-25,10,192818490,91552137,4499836,20.3,47.5,High Monopoly,1
2017-11-26,10,220996747,102012605,4351979,23.4,46.2,High Monopoly,1
2017-11-27,10,134035765,34043133,3635144,9.4,25.4,Moderate,0
2017-11-28,10,122899809,36152111,3412680,10.6,29.4,Moderate,0
2017-11-29,10,87677926,30583293,3216259,9.5,34.9,Moderate,0
2017-11-30,10,131036325,37736281,3873702,9.7,28.8,Moderate,0
2017-12-01,10,132603015,56367282,3457795,16.3,42.5,High Monopoly,1
2017-12-02,10,113152707,66637636,3401089,19.6,58.9,High Monopoly,1
2017-12-03,10,136688343,74789251,3855331,19.4,54.7,High Monopoly,1
2017-12-04,10,156643727,80360459,4294048,18.7,51.3,High Monopoly,1
2017-12-05,10,176685387,84281319,4395483,19.2,47.7,High Monopoly,1
2017-12-06,10,194947740,87449453,5264354,16.6,44.9,High Monopoly,1
2017-12-07,10,232172382,89930713,5966226,15.1,38.7,Moderate,0
2017-12-08,10,277815753,91933007,6041315,15.2,33.1,Moderate,0
2017-12-09,10,194925679,75969469,4184160,18.2,39,Moderate,0
2017-12-10,10,220923561,100911567,4554374,22.2,45.7,High Monopoly,1
2017-12-11,10,254474490,113874632,5224168,21.8,44.7,High Monopoly,1
2017-12-12,10,230819850,125432237,5952094,21.1,54.3,High Monopoly,1
2017-12-13,10,254363505,137843120,5952978,23.2,54.2,High Monopoly,1
2017-12-14,10,277304132,149376127,6080769,24.6,53.9,High Monopoly,1
2017-12-15,10,143047767,38070298,4190444,9.1,26.6,Moderate,0
2017-12-16,10,95956733,33896316,2838859,11.9,35.3,Moderate,0
2017-12-17,10,102131247,38363406,2672086,14.4,37.6,Moderate,0
2017-12-18,10,112989315,41088994,3106001,13.2,36.4,Moderate,0
2017-12-19,10,67881886,17446067,3180207,5.5,25.7,Moderate,0
2017-12-20,10,71713752,19963184,3257990,6.1,27.8,Moderate,0
2017-12-21,10,81497002,23634920,3256799,7.3,29,Moderate,0
2017-12-22,10,80885333,27350528,3601697,7.6,33.8,Moderate,0
2017-12-23,10,72785409,12023527,4289828,2.8,16.5,Diverse,0
2017-12-24,10,81680061,15191078,3974313,3.8,18.6,Diverse,0
2017-12-25,10,93708152,18826204,4920851,3.8,20.1,Diverse,0
2017-12-26,10,97819909,21993346,5169974,4.3,22.5,Diverse,0
2017-12-27,10,104680516,25184395,5249155,4.8,24.1,Diverse,0
2017-12-28,10,107742917,28474364,5468697,5.2,26.4,Moderate,0
2017-12-29,10,115533677,31873225,4661421,6.8,27.6,Moderate,0
2017-12-30,10,119387568,35374613,4086889,8.7,29.6,Moderate,0
2017-12-31,10,131463928,38902263,4599327,8.5,29.6,Moderate,0
2018-01-01,10,142370470,42895122,4903275,8.7,30.1,Moderate,0
2018-01-02,10,151173202,45938392,5133307,8.9,30.4,Moderate,0
2018-01-03,10,93752892,16584193,4543244,3.7,17.7,Diverse,0
2018-01-04,10,103502902,23389090,4674833,5,22.6,Diverse,0
2018-01-05,10,83942477,28407744,3940749,7.2,33.8,Moderate,0
2018-01-06,10,96306233,31675237,4203082,7.5,32.9,Moderate,0
2018-01-07,10,112064334,33998325,4005722,8.5,30.3,Moderate,0
2018-01-08,10,124728243,37728801,4416905,8.5,30.2,Moderate,0
2018-01-09,10,131616654,43067983,3976296,10.8,32.7,Moderate,0
2018-01-12,10,115459441,57951412,3277837,17.7,50.2,High Monopoly,1
2018-01-13,10,53620972,14089954,2865089,4.9,26.3,Moderate,0
2018-01-14,10,67703689,23198594,2903126,8,34.3,Moderate,0
2018-01-15,10,82288981,29743367,3287432,9,36.1,Moderate,0
2018-01-16,10,92168577,34708457,3421548,10.1,37.7,Moderate,0
2018-01-17,10,104281579,38629167,3787041,10.2,37,Moderate,0
2018-01-18,10,110938043,42019590,3624449,11.6,37.9,Moderate,0
2018-01-19,10,112549129,45141770,3383164,13.3,40.1,High Monopoly,1
2018-01-20,10,56468460,10083696,3934319,2.6,17.9,Diverse,0
2018-01-21,10,57388435,8349078,3567363,2.3,14.5,Diverse,0
2018-01-22,10,67637481,10073675,4361881,2.3,14.9,Diverse,0
2018-01-23,10,75318331,12155156,4994006,2.4,16.1,Diverse,0
2018-01-24,10,89061836,14162537,5668569,2.5,15.9,Diverse,0
2018-01-25,10,103734303,17228602,7379281,2.3,16.6,Diverse,0
2018-01-26,10,86314027,20761480,4209089,4.9,24.1,Diverse,0
2018-01-27,10,94498297,23417389,3953162,5.9,24.8,Diverse,0
2018-01-28,10,105872455,26019027,4253449,6.1,24.6,Diverse,0
2018-01-29,10,120242058,27915532,5503993,5.1,23.2,Diverse,0
2018-01-30,10,121186671,29090799,4924380,5.9,24,Diverse,0
2018-01-31,10,122000880,23742391,7227939,3.3,19.5,Diverse,0
2018-02-01,10,135191777,24286474,7109996,3.4,18,Diverse,0
2018-02-02,10,107935187,25142629,5325220,4.7,23.3,Diverse,0
2018-02-03,10,83195695,19392316,3199087,6.1,23.3,Diverse,0
2018-02-04,10,99122769,21594339,4719578,4.6,21.8,Diverse,0
2018-02-05,10,96679217,20921796,3751175,5.6,21.6,Diverse,0
2018-02-06,10,143629821,35830721,8641831,4.1,24.9,Diverse,0
2018-02-07,10,154506271,40801423,10582444,3.9,26.4,Moderate,0
2018-02-08,10,175394543,44818108,12415166,3.6,25.6,Moderate,0
2018-02-09,10,187558181,48635732,13345099,3.6,25.9,Moderate,0
2018-02-10,10,204674584,51243149,11224337,4.6,25,Moderate,0
2018-02-11,10,214909795,53183123,11291868,4.7,24.7,Diverse,0
2018-02-12,10,206649666,54454945,11358208,4.8,26.4,Moderate,0
2018-02-13,10,204754174,55063465,11314296,4.9,26.9,Moderate,0
2018-02-14,10,177903696,56111957,7744843,7.2,31.5,Moderate,0
2018-02-15,10,122595102,20547946,6566903,3.1,16.8,Diverse,0
2018-02-16,10,133354005,20658640,7935379,2.6,15.5,Diverse,0
2018-02-17,10,120643729,19434177,6425560,3,16.1,Diverse,0
2018-02-18,10,121016292,20680316,6732091,3.1,17.1,Diverse,0
2018-02-19,10,99724842,23739439,5107601,4.6,23.8,Diverse,0
2018-02-20,10,108324424,25965876,4080130,6.4,24,Diverse,0
2018-02-21,10,126666455,27621052,4698848,5.9,21.8,Diverse,0
2018-02-22,10,139037951,29344437,5295639,5.5,21.1,Diverse,0
2018-02-23,10,140967057,31072475,3978122,7.8,22,Diverse,0
2018-02-24,10,132779272,32730338,3944791,8.3,24.7,Diverse,0
2018-02-25,10,135661059,34269048,4511229,7.6,25.3,Moderate,0
2018-02-26,10,111921085,20393752,4043368,5,18.2,Diverse,0
2018-02-27,10,102358564,20747860,4279908,4.8,20.3,Diverse,0
2018-02-28,10,92164824,21005589,3960494,5.3,22.8,Diverse,0
2018-03-01,10,85419698,19177871,4223613,4.5,22.5,Diverse,0
2018-03-02,10,76536930,17190739,4193637,4.1,22.5,Diverse,0
2018-03-03,10,88552348,17495717,4278491,4.1,19.8,Diverse,0
2018-03-04,10,93852393,18696782,4365488,4.3,19.9,Diverse,0
2018-03-05,10,102670734,21582276,4651050,4.6,21,Diverse,0
2018-03-06,10,95165517,23416810,4852889,4.8,24.6,Diverse,0
2018-03-07,10,88724895,17541310,5275672,3.3,19.8,Diverse,0
2018-03-08,10,89496990,18341357,4994003,3.7,20.5,Diverse,0
2018-03-09,10,89993375,19023565,5057587,3.8,21.1,Diverse,0
2018-03-10,10,91719782,19752678,5411857,3.6,21.5,Diverse,0
2018-03-11,10,96519526,20459891,5329977,3.8,21.2,Diverse,0
2018-03-12,10,103895035,21161174,5891971,3.6,20.4,Diverse,0
2018-03-13,10,118885516,21636717,6344018,3.4,18.2,Diverse,0
2018-03-14,10,135277609,24262331,6771112,3.6,17.9,Diverse,0
2018-03-15,10,183264810,48431654,7619961,6.4,26.4,Moderate,0
2018-03-16,10,187140866,52180728,8050783,6.5,27.9,Moderate,0
2018-03-17,10,196104996,55788936,7546285,7.4,28.4,Moderate,0
2018-03-18,10,221441994,60962220,8053628,7.6,27.5,Moderate,0
2018-03-19,10,244812973,64594661,9617675,6.7,26.4,Moderate,0
2018-03-20,10,259843428,68480947,7689941,8.9,26.4,Moderate,0
