tag_name,tag_popularity_rank,tag_tier,trending_appearances,unique_videos,unique_channels,total_views,avg_views_per_entry,avg_engagement_rate,avg_like_ratio,engagement_efficiency,recommendation,_bc_ingested_at
pop,1,Mega,1629,193,112,11322726262,6950722,5.46,96.56,0.738,Must Use,2026-05-02 19:45:17
rap,2,Mega,380,49,30,6600767535,17370441,4.413,92.457,0.743,Must Use,2026-05-02 19:45:17
funny,3,Mega,4137,746,193,6451511358,1559466,4.221,94.492,0.507,Must Use,2026-05-02 19:45:17
comedy,4,Mega,3641,663,157,5734436219,1574962,3.884,93.483,0.474,Low Priority,2026-05-02 19:45:17
official,5,Mega,910,117,58,4764687449,5235920,3.748,94.506,0.55,Low Priority,2026-05-02 19:45:17
trailer,6,Mega,1368,217,79,4563335051,3335771,2.037,91.234,0.282,Saturated,2026-05-02 19:45:17
marvel,7,Mega,621,82,38,4547536187,7322925,3.541,96.541,0.55,Low Priority,2026-05-02 19:45:17
records,8,Mega,685,80,51,4329594148,6320575,5.323,97.387,0.815,Must Use,2026-05-02 19:45:17
childish gambino,9,Mega,146,17,15,4085844995,27985240,2.503,91.041,0.502,Saturated,2026-05-02 19:45:17
this is america,10,Mega,104,8,7,4037698664,38824026,2.198,89.832,0.472,Saturated,2026-05-02 19:45:17
mcdj recording/rca records,11,Mega,38,2,2,3774773591,99336147,2.917,94.205,0.796,Saturated,2026-05-02 19:45:17
music video,12,Mega,713,83,68,3773529147,5292467,5.219,93.988,0.794,Must Use,2026-05-02 19:45:17
official video,13,Mega,366,43,29,3611351078,9867079,4.878,96.616,0.826,Must Use,2026-05-02 19:45:17
live,14,Mega,1011,189,63,3377641268,3340891,3.276,91.889,0.473,Low Priority,2026-05-02 19:45:17
movie,15,Mega,908,141,67,3208678979,3533787,2.749,92.787,0.404,Saturated,2026-05-02 19:45:17
animation,16,Mega,944,110,61,3068119111,3250126,5.19,97.322,0.758,Must Use,2026-05-02 19:45:17
family friendly,17,Mega,751,77,24,3020492249,4021960,4.386,94.696,0.662,Must Use,2026-05-02 19:45:17
bts,18,Mega,414,54,32,2959651558,7148917,9.584,97.415,1.59,Must Use,2026-05-02 19:45:17
music,19,Mega,1659,263,137,2804638663,1690560,4.788,93.963,0.646,Must Use,2026-05-02 19:45:17
fidget spinners,20,Mega,252,29,4,2797046032,11099389,5.664,96.348,1.024,Must Use,2026-05-02 19:45:17
to,21,Mega,403,61,39,2752653439,6830406,5.367,95.154,0.894,Must Use,2026-05-02 19:45:17
official trailer,22,Mega,431,58,28,2734473839,6344487,1.792,94.169,0.295,Saturated,2026-05-02 19:45:17
how to,23,Mega,1687,212,105,2694523970,1597228,5.649,96.007,0.76,Must Use,2026-05-02 19:45:17
family,24,Mega,603,86,50,2643183251,4383388,3.913,91.942,0.611,Low Priority,2026-05-02 19:45:17
bottle flip,25,Mega,232,20,3,2535970689,10930908,3.094,95.371,0.568,Low Priority,2026-05-02 19:45:17
방탄소년단,26,Mega,146,19,7,2508101121,17178775,13.737,98.906,2.753,Must Use,2026-05-02 19:45:17
bangtan,27,Mega,140,16,4,2496976457,17835546,14.656,99.087,2.962,Must Use,2026-05-02 19:45:17
daddy yankee,28,Mega,66,6,6,2374683382,35980051,3.308,90.663,0.787,Low Priority,2026-05-02 19:45:17
the,29,Mega,543,91,57,2342363810,4313746,4.31,96.475,0.684,Must Use,2026-05-02 19:45:17
빅히트,30,Mega,96,11,2,2268033047,23625344,14.352,98.832,3.137,Must Use,2026-05-02 19:45:17
방탄,31,Mega,88,10,2,2253865473,25612108,14.403,98.772,3.209,Must Use,2026-05-02 19:45:17
bighit,31,Mega,88,10,2,2253865473,25612108,14.403,98.772,3.209,Must Use,2026-05-02 19:45:17
film,33,Mega,638,107,65,2247243197,3522325,2.816,92.085,0.436,Saturated,2026-05-02 19:45:17
clean,34,Mega,215,21,10,2191027109,10190824,3.645,96.297,0.678,Low Priority,2026-05-02 19:45:17
football,35,Mega,510,98,40,2140848756,4197743,2.435,92.868,0.39,Saturated,2026-05-02 19:45:17
rca records label,36,Mega,280,31,16,2060205173,7357876,4.279,95.788,0.759,Must Use,2026-05-02 19:45:17
disney,37,Mega,568,66,47,2030688198,3575155,3.717,93.137,0.586,Low Priority,2026-05-02 19:45:17
