virality_rank,video_id,total_trending_days,peak_views,max_daily_view_gain,avg_daily_view_gain,avg_daily_growth_pct,avg_engagement_rate,avg_like_ratio,peak_day_num,peak_date,peak_timing,sustainability_score,views_per_trending_day,_bc_ingested_at
1,M4ZoCHID9GI,18,122544931,52302006,6372948,17.33,2.929,97.929,19,2018-05-14,Late Bloomer,0.95,6808052,2026-05-02 19:45:30
2,zEf423kYfqk,19,139334502,34933753,6966092,18.53,2.246,92.194,20,2018-05-15,Late Bloomer,0.95,7333395,2026-05-02 19:45:30
3,FlsCjmMhFmw,7,149376127,27829572,17799138,32.97,4.73,66.087,2,2017-12-08,Early Peaker,3.5,21339447,2026-05-02 19:45:30
4,ffxKSjUwKdU,19,148689896,26108740,6990361,13.09,4.101,96.351,20,2018-05-14,Late Bloomer,0.95,7825784,2026-05-02 19:45:30
5,cqg5oc20nxk,4,25244097,23988556,6009876,497.9,0.036,84.264,2,2018-02-10,Early Peaker,2,6311024,2026-05-02 19:45:30
6,7C2z4GqqS5E,13,123010920,23446463,6435461,9.94,7.07,96.721,2,2018-05-20,Early Peaker,6.5,9462378,2026-05-02 19:45:30
7,6ZfuNTqbHE8,8,91933007,18631001,6774591,12.62,3.673,98.126,2,2017-12-01,Early Peaker,4,11491626,2026-05-02 19:45:30
8,TyHvyGVs42U,9,102012605,18058240,11279184,423.14,3.882,95.773,2,2017-11-18,Early Peaker,4.5,11334734,2026-05-02 19:45:30
9,VYOjWnS4cMY,24,225211923,17642597,8065145,9,3.146,94.222,7,2018-05-15,Mid Peaker,3.43,9383830,2026-05-02 19:45:30
10,BhIEIO0vaBE,9,56111957,14908925,3910018,13.12,0,,2,2018-02-06,Early Peaker,4.5,6234662,2026-05-02 19:45:30
11,LsoLEjrDogU,6,57951412,14883429,9567132,405.61,5.363,96.791,7,2018-01-12,Mid Peaker,0.86,9658569,2026-05-02 19:45:30
12,rsEne1ZiQrk,14,41604561,13619538,2740776,22.48,2.76,98.061,9,2018-04-14,Late Bloomer,1.56,2971754,2026-05-02 19:45:30
13,9TUBf6l7FBg,2,24004779,12867708,10203280,162.53,0,,3,2018-04-16,Early Peaker,0.67,12002390,2026-05-02 19:45:30
14,xTlNMmZKwpA,15,94254507,12496133,5735138,20.98,3.171,94.918,2,2018-05-31,Early Peaker,7.5,6283634,2026-05-02 19:45:30
15,Bm8rz-llMhE,11,30061253,11579442,2558649,62.52,2.277,97.204,2,2018-04-14,Early Peaker,5.5,2732841,2026-05-02 19:45:30
16,u9Mv98Gr5pY,18,59254638,11155193,1737857,4.62,2.653,96.547,2,2018-04-26,Early Peaker,9,3291924,2026-05-02 19:45:30
